"word" "doc" "freq"
847 15 1
859 15 1
861 15 1
917 15 1
943 15 5
944 15 4
1015 15 1
1023 15 1
1042 15 1
1064 15 1
1082 15 1
1123 15 1
1145 15 1
1200 15 1
1223 15 1
1246 15 2
1247 15 1
1419 15 4
1425 15 2
1432 15 1
1524 15 1
1582 15 1
1691 15 2
1692 15 1
1732 15 2
1736 15 1
1815 15 1
1827 15 1
1874 15 1
1981 15 1
1989 15 6
1997 15 1
2035 15 1
2046 15 1
2066 15 2
2197 15 1
2375 15 1
2537 15 1
2550 15 2
2606 15 1
2617 15 1
2639 15 1
2728 15 2
2758 15 1
2795 15 3
2812 15 2
2856 15 1
2877 15 1
2917 15 2
2959 15 3
2983 15 2
2984 15 3
3142 15 1
3190 15 2
3198 15 2
3202 15 1
3209 15 1
3229 15 1
3502 15 1
3649 15 1
3674 15 1
3747 15 1
3853 15 1
3859 15 1
3913 15 1
3941 15 1
3955 15 1
4050 15 3
4114 15 1
4139 15 1
4158 15 6
4172 15 1
4182 15 1
4204 15 2
4207 15 2
4222 15 1
4223 15 2
4247 15 1
4281 15 1
4287 15 1
4385 15 1
4399 15 1
4461 15 1
4498 15 1
4502 15 1
4528 15 2
4570 15 2
4606 15 1
4642 15 1
4735 15 1
4753 15 1
4959 15 1
5014 15 3
5074 15 1
5081 15 2
5099 15 1
5225 15 1
5309 15 1
5336 15 1
5349 15 4
5350 15 4
5365 15 2
5437 15 5
5525 15 2
5529 15 1
5701 15 1
5730 15 1
5736 15 3
5821 15 1
5858 15 1
5864 15 6
30 16 2
100 16 2
202 16 1
224 16 1
289 16 1
311 16 1
316 16 1
371 16 2
442 16 1
473 16 3
598 16 1
635 16 1
726 16 1
737 16 1
753 16 1
778 16 2
791 16 1
903 16 1
1042 16 1
1055 16 1
1071 16 1
1080 16 4
1114 16 2
1123 16 2
1125 16 1
1255 16 2
1366 16 1
1375 16 1
1407 16 2
1430 16 1
1487 16 2
1489 16 2
1490 16 1
1544 16 1
1560 16 1
1621 16 1
1670 16 3
1774 16 1
1810 16 4
1830 16 1
1871 16 1
1905 16 1
1921 16 1
1942 16 1
2026 16 1
2092 16 1
2134 16 1
2158 16 1
2176 16 1
2216 16 1
2245 16 1
2305 16 1
2377 16 2
2559 16 1
2585 16 1
2598 16 1
2626 16 2
2632 16 1
2655 16 2
2660 16 1
2690 16 1
2728 16 2
2771 16 1
2869 16 1
2951 16 1
2952 16 1
3040 16 1
3042 16 1
3050 16 1
3165 16 1
3245 16 2
3306 16 3
3307 16 1
3308 16 1
3413 16 2
3614 16 1
3637 16 1
3681 16 1
3685 16 1
3692 16 1
3789 16 1
4039 16 1
4070 16 1
4071 16 6
4108 16 1
4111 16 2
4189 16 1
4197 16 1
4198 16 2
4359 16 1
4368 16 1
4383 16 5
4395 16 2
4431 16 1
4433 16 1
4436 16 2
4461 16 3
4505 16 2
4537 16 1
4648 16 8
4694 16 1
4715 16 4
4799 16 1
4844 16 1
4880 16 2
4881 16 1
4906 16 2
4950 16 5
4959 16 2
4962 16 2
4966 16 1
4999 16 1
5075 16 4
5088 16 3
5089 16 1
5142 16 3
5335 16 1
5353 16 1
5358 16 1
5378 16 1
5383 16 1
5406 16 1
5451 16 1
5501 16 1
5525 16 2
5628 16 1
5649 16 1
5670 16 1
5727 16 1
5835 16 1
5839 16 1
5859 16 1
5866 16 1
30 17 2
181 17 1
186 17 2
239 17 1
323 17 1
430 17 1
551 17 3
669 17 1
797 17 1
858 17 5
917 17 1
1080 17 1
1084 17 1
1123 17 2
1152 17 1
1161 17 1
1178 17 1
1330 17 9
1345 17 1
1375 17 2
1487 17 2
1502 17 1
1525 17 2
1723 17 1
1815 17 1
1818 17 1
1827 17 1
1938 17 3
2022 17 2
2023 17 1
2069 17 1
2147 17 1
2459 17 2
2505 17 2
2537 17 1
2550 17 2
2713 17 2
2774 17 1
2869 17 1
2877 17 1
2970 17 1
2983 17 2
3002 17 1
3035 17 2
3045 17 1
3142 17 2
3266 17 1
3306 17 1
3307 17 1
3502 17 1
3524 17 1
3528 17 2
3674 17 1
3730 17 1
3862 17 1
3956 17 1
4039 17 3
4093 17 1
4158 17 4
4204 17 1
4206 17 2
4207 17 7
4239 17 2
4273 17 7
4461 17 1
4466 17 1
4505 17 1
4516 17 2
4746 17 1
4865 17 2
4992 17 4
5088 17 10
5120 17 1
5207 17 1
5294 17 1
5296 17 1
5350 17 1
5437 17 1
5680 17 1
5782 17 1
5821 17 2
5849 17 1
5867 17 1
43 18 1
67 18 1
96 18 1
127 18 3
186 18 3
238 18 1
282 18 1
353 18 2
367 18 4
414 18 1
430 18 1
473 18 2
535 18 4
657 18 1
690 18 1
783 18 1
833 18 1
834 18 1
836 18 1
858 18 1
877 18 1
917 18 1
943 18 1
944 18 3
1017 18 1
1040 18 1
1042 18 3
1058 18 1
1065 18 1
1126 18 1
1146 18 1
1200 18 1
1330 18 4
1345 18 1
1375 18 1
1414 18 1
1435 18 1
1487 18 3
1502 18 1
1514 18 1
1525 18 1
1544 18 1
1815 18 1
1824 18 1
1827 18 1
1905 18 1
1938 18 3
2003 18 1
2022 18 1
2098 18 1
2100 18 1
